review,sentiment
"The bowl bag does not pop in the same amount of time as a normal bag so it makes your microwave's popcorn button useless. Additionally, about half of the bags are faulty and open when popping resulting in very little popped popcorn. Last, I have found it almost impossible to get the bag to pop completely even when watching it pop (since I can't use the popcorn button!). Overall, this new bowl design is terrible and I would recommend switching to another brand until they go bag to the old bags that work.",Negative
"I us this salt now for all my cooking needs, it's not very salty and there is no after taste.. finished 2lbs, and have now ordered this 5lbs..",Positive
"<span class=""tiny""> Length:: 1:44 Mins<br /><br /></span>This toy provides some mental stimulation for my pets which is much needed.  My dog caught on right away but it still slowed her down more than if we gave her treats or food outright.  I also have two cats and they use it too!  It keeps them occupied longer but they both have figured out how to get the food.  I use this at meal times and put their regular food inside it.  When the cats aren't looking, I'll put some treats in it for them and just set it on a counter or table for them to find it at their convenience.  They do!  You can watch my video to see my pets in action.",Positive
"I was very excited when i saw this product, i'm one of those people eager to try anything, and I've had exotic meats before in a number of ways, through friends that hunt I've enjoyed home made dishes made from a wide variety of game animals, and i've had less common animals like ostrich, kangaroo, and aligator that i ordered on like and cooked myself, and i've even had a few of these meats as jerky by other companies. I like the meats of the animals they made these jerkies from, i need to stress that point, because otherwise you may think that is what my problem is. it's not, this product was AWFUL!! these were some of the worst cured meat snacks I've ever had.  Is it possible to rate something and give it no stars? because that is what this product deserves. the meat managed somehow to be both bland and surprisingly foul, and coated with enough grease to lubricate an engine. I have tried several of the strips and sticks and found that to be a universal condition. I can only think that the people who wrote the rave reviews for this product did so without tasting it. this is dreadful stuff, suited only for those who simply want the novelty of claiming they ate strange animals and don't care what it tasted like. this meat was not fit for human consumption, in fact, i wouldn't even give it to my dog. I won't be buying anything else from buffalo bob.",Negative
"Good dark chocolate. Don't know if it's any better or worse than equivalent chocolate bars or non-organic chocolate.<br /><br />I guess I can say it didn't leave the kind of burnt or unpleasant aftertaste that I've noticed some other name brand chocolates occasionally do. So, there's that.<br /><br />For me, it was just generally some pleasant dark chocolate.",Positive
I have no doubt that it's very good. But I bought the same package at GFS Foods for three bucks!,Negative
"I started taking ACV pills several months ago and can't believe how great they are for so many things.  I have had chronic lower back pain for years, but not anymore!  I can get out of bed and also bend over without pain.  This is a miracle for me.<br /><br />My Mother, who is in her 60's, is having some health issues that are causing her much pain in her abdomen.  After months of suffering and many tears I talked her into taking the ACV pills to see if they would help and her pain got better quicker than I expected!  She ran out of the pills and just a couple days later the pain started coming back.  She had me order her more ACV.  I don't know if they are actually ""curing"" her ailments, but getting her some relief is a blessing.<br /><br />These pills are amazing to me and my family.",Positive
"Love this mix. I would pick this one over Williams Sonoma Belgian Waffle and Stonewall Kitchen Pancake and Waffle mix. Waffles come out very light (remember to use sparkling water), and are a great 'base' for various fruit additions: orange zest and chopped strawberries, chopped mango and nuts, etc. I use very basic full-size Belgian waffle maker and one recipe makes 2 waffles. I just wish more stores carried it.",Positive
"I've purchased Organic Valley's milk for quite some time now, always in the form of half-gallon containers, which taste perfectly fine. So this time I decided to try out the aseptic cartons. the plan was to keep these on hand for when i run out of milk during the week.<br /><br />When drinking it by itself, it seems to have an off taste. Can't quite describe it in words. Just a strange taste that doesn't stay in your mouth, but its hard to ignore while drinking it.<br />I've also tried it with my coffee, and luckily the coffee successfully masks the weird taste.",Negative
"I was a bit shocked to see all the high ratings on here, so maybe it's my box: perhaps it was mishandled. So far the two cups I've made taste like plastic and chemicals. I'll try brewing it loose leaf in case the taste is coming from the bags, but so far I found this tea disappointing.",Negative
I received the package yesterday and as as soon as I opened the box I smelled the truffle. The jar was already opened! I got a used product?!?!? Where's the product quality control here?,Negative
"My baby enjoyed this flavor when I purchased it at a store.  I ordered a case of it from Amazon.  the whole case arrived moldy.  Each jar popped when I opened it too, showing that it was properly sealed.  I contacted Earth's Best.  They said they would look into it but would not follow up with me.  Given what is going on in our food industry, I will not purchase any more products from this company.  It is to scary when feeding a baby.  Amazon refunded me but did not take it any further.  Be very careful and inform other families too.  UPDATE: I was so disappointed with the lack of concern from Earth's Best and Amazon.  I contacted the FDA, they referred me to the USDA because the product contained meat.  They took it very serious and had also received several complaints.  They have come to my house and written a report.  If anyone else noticed this problem please contact the USDA (1-888-674-6854).<br />to report your claim/problem.  They will investigate the problem and the Earth's Best Plant to make sure they are following regulations.",Negative
"SHEETMEAT, baby... that's what I like to call it... Flat sheets of delicious meat is what Buffalo Bill's Teriyaki Western Cut Big Slab Beef Jerky is all about!<br /><br />I pretty much agree with Blake's take on this product... really thin, yet nice and chewy Sheet meat.  Excellent teriyaki flavor and as mentioned, perfect for cutting into little bite-sized bits...<br /><br />I like a little dish of this right by the computer at work.  When I have a bad moment, I just hit a little bit of jerky and everything is better, on the spot!<br /><br />Buffalo Bill's Teriyaki slab jerky.... Nothing better!!!!!!  Get some!",Positive
While the product is certainly easy to use (once you have figured out the awful instructions) you quickly realize that you can only make food in incredibly small amounts. As any mother knows there is no time for that. It is much simpler and quicker to simply steam your food then use a regular food processor. Please save your money and skip this product!!!!,Negative
"The price seemed great.  Until you realize that you're just getting powdered drink mix.<br /><br />This was an awful beverage.  I didn't realize that it was sugar-free until today (I bought and received it 2 months ago), as I didn't read all over the box.  My thought was, I read about it on Amazon. I know what it is.<br /><br />It comes with 3 boxes.  I couldn't finish the first box.  Also, I seemed to get headaches after drinking it.  Now I know that it was probably the Aspartame.  I'm no health food nut.  I'll eat whatever tastes good, but none of the sugar alternatives taste good to me.  YMMV)<br /><br />If you want good cider, I picked up a box of <a href=""http://www.amazon.com/gp/product/B0050JSRU6"">Green Mountain Naturals ~ HOT APPLE CIDER ~ 24 K-Cups for Keurig Brewers</a> from my local grocery store (to try it. I'm now going with the 12-count boxes for untested k-cups and will purchase larger amounts from Amazon if they're worth it), and I think that it's much better.  The apple flavor isn't as strong, and it's not a deep caramelly color, but it actually tastes like apples and spices instead of gross liquid.  Also, I don't think that the price from Amazon is great for the 'Natural' Cider, but I found it in my local grocer for very competitive prices.",Negative
I think I like these chips better than the real thing.<br />Very good potato flavor.,Positive
"Have ordered chocolate for our work candy jar many times, first time ordering this bag from this seller. Will not do so again. Every piece thus far has been whitish and old, the taste is off, and none of it is good. Severely disappointed with the chocolate.",Negative
"This is the best price I can find for a food which is a staple in our house....Our typical American diet is sorely deficient in many minerals - seaweed is one of the best sources, and arame is the most mild tasting of all the sea vegetables.  Incorporate this food generously into your diet, and watch the changes happen in your skin, hair, nails, and digestion!  Great company...<br />Linda Vinecour<br />CHC, AADP",Positive
"This isn't necessarily low-carb, but for primal/paleo folks and gluten free- folks, this is a winner. I make mine without cheese in the crust, as it is optional.<br /><br />It took me a few tries to get it right because I stink at cooking, and I learned the hard way that you should NOT broil this for too long. That aside, the recipe is very easy: Mix + 2 large eggs + Oil (I use EVOO), and some shredded cheese if you desire.<br /><br />Even though you could put the pizza toppings on at the same time that it cooks, I found that I liked it better by cooking it for half the time (it doesn't need long to cook), and then adding the toppings.<br /><br />The bread itself is a bit different at first, crunchy/firm on the outside, but soft and somewhat gooey (but not nasty at all) on the inside. It's really delicious even on its own.<br /><br />I would consume this in moderation but daily if you wanted; I had a pizza binge with one box and it went right through me. Daily eating is fine...maybe even multiple times a day...just not all at one go if you have the occasional binge.<br /><br />Great product, really helpful toward weight goals.",Positive
I've purchased just about every lemon pepper seasoning on the market and this is by far the best out there.I use it on fish at least once a week.When I purchased it from the store I would clear the shelf. You will not be disappointed with this purchase.,Positive
"I ordered a 12-pack of Ragusa Swiss chocolates to surprise my wife (who is Swiss) with her favorite treat. Unfortunately the chocolates were rancid when we received them, they had a white film on the outer chocolate surface, indicating the chocolates were way past their prime. I should have returned them and requested a refund, however I am opting to post this review as a warning to others instead. Returning the items would have been too much of hassle, especially since we could only assess the quality of the chocolates by trying them. I would never buy from this seller again, and I do not recommend their products. They are obviously not rotating their merchandise often enough, their chocolate is quite stale.",Negative
"I have been enjoying drinking Senseo coffee for a few years now, and having recently tried their new flovor Vienna Hazelnut Waltz, I have a newfound favorite. It is absolutely delicous and uniquely Senseo coffee. I deffinately recommend trying this product!",Positive
This is without a doubt the most incredibly addictive packaged cookie in the world. The dark chocolate dipping at one end is a great contrast to the rolled wafer of the cookie itself. Why did I ever buy a whole case! Bless Amazon for carrying the Bahlsen line of fabulous cookies because it is not available in Montana.,Positive
"My fave chocolate milk mix, have no idea why it's not available at Target anymore??? Thanks Amazon for having it!",Positive
"My husband really likes seaseme chips so I ordered 12 packages, however I only got a 11 packages and all were crushed. This was a very bad job packing box and shipping. I won't order again.",Negative
"Come on, Amazon. I can buy them cheaper @my local supermarket. I pay $1.29 a piece, there. That's about $2.00 a case less than what you want.",Positive
"Being a gluten sensitive individual, I was lured into a false sense of security when I read the simple ingredients on this Amazon info page.<br /><br />Because I didn't first do my homework, and read the labels before I began consuming these, I ended up having a massive asthma attack.  Just wanted to let everyone who has these sensitivities/allergies to avoid this product.",Negative
My two kittens have sensitive stomachs so my Vet recommended Science Diet. It helped them and I could not be any more pleased. It is worth the price to see the results of happy pets that are healthy.,Positive
"I tried vitacoco in the past and was a bit turned off by the taste in a packaged product, but this came on sale so I gave it a go, boy was I surprised, just like the real thing!  I drink one a day now, no sugary aftertaste like gatorate or vitamin water which I used to drink, just clean and refreshing.",Positive
"Sadly for me and the time i spend cooking ground turkey for my little darlings, they really didn't like the Sojos complete food. They love the add meat variety (LOVE LOVE LOVE) but this- they ate when they were starving, but otherwise ignored. I wish they loved it it would be so much easier! They are little yorkies - perhaps it's a breed thing.",Negative
"The biggest impediments to me buying this product for the first time were the price and whether my cat would actually eat it.  I have a 3 year old Siamese cat who has been eating Orijen (15.4 lbs @ $[...]) for over a year now, previously she had been on <a href=""http://www.amazon.com/gp/product/B00008DFU8"">Pro Plan Indoor Care Turkey and Rice Formula Dry Cat Food</a> (7 lbs @ $23.59) which I always considered to be a ""premium"" cat food until I began doing some research.  As you can see, Orijen ($3.44/lb) is slightly more expensive than Purina Pro Plan ($3.37/lb).  The big difference in price, however, comes from the ingredients.  Orijen is lower in carbohydrates and higher in protein which has resulted in my cat eating approximately 1/3 less food than she had been before.  I love that her new diet is better for her health, but also easier on my pocket.<br /><br />My concerns about whether she would like the new ""health food"" were completely unfounded.  Of course, when I first began mixing Orijen with her old food she would eat around the new food and save it for last, but that stopped after about the fourth bowl.  She has always been picky about the treats she will eat, but recently I've been experimenting with grain-free treats and she has been taking to them without hesitation.<br /><br />I encourage anyone who is shopping for foods to compare the ingredient labels.  I was shocked to find that Purina's Pro Plan looks more like something that would be concocted by a chemistry lab than a food producer.  For example, Purina Pro Plan contains ONLY Vitamin E, A, B-12, and D-3 supplements instead of the actual sweet potatoes, kelp, pumpkin, carrots, spinach, turnip greens, apples, and cranberries found along with the supplements in Orijen.<br /><br />Finally, the last big difference that I have noticed in my cat is the number of hairballs.  When she was on Purina's Pro Plan Indoor Care, my cat would spit up at least once a month if not every couple of weeks.  Now she spits up approximately 3 or 4 times a year and only when I leave for a decent length of time, such as during the holidays or a vacation.<br /><br />Overall, I couldn't be any happier with this cat food and I can't recommend it highly enough.",Positive
Ate half of one and threw the other 23 in the garbage. Overwhelming taste/smell as if it had been soaked in sauce. Won't order it again.,Negative
I started ordering the pack of 3 cheerios using the subscribe and save option 6 months ago and the price was reasonable.  It worked out great for a few months and then amazon changed their pricing and it went from ~$7.00/3 boxes to ~$11.00.  I don't know how they can justify a price hike of $4.00 in one month.  I have canceled this subscribe and save option ... along with a couple others.  A reminder to whomever reads this -- when they send you an email reminding you of an order coming soon --pay attention to the previous and the current pricing.  It got me the first month --not paying attention.,Negative
"I like AK Mak crackers.  I bought this size box because the AK MAK crackers I usually buy were not available on Amazon.  I regret my haste.<br /><br />These crackers are far bigger than the regular size crackers.  This size difference compounds a problem that also exists in the smaller box size; i.e. the lack of a resealable package.  All of the crackers are in one big package, but because the nature of how they are packaged, it is not easy to reseal them.<br /><br />Buy the smaller package size.",Negative
"Garbanzo Bean Flour is an excellent source of protein. Enjoy and add to stews, soups, or make your favorite flat bread! Will buy again for a ready and handy source of protein:)",Positive
The eclipse mints started with the Pepermints then went to Winterfrost and after Winterfrost went to other flavors.  They will never surpass Winterfrost.  Its the best on the market.  Too bad they aren't cheaper.,Positive
"I've been a vegetarian for 10 years (all of my 20s) and absolutely love it!  Lately I've been really looking for good healthy protein sources that I actually like to eat, and these Primal Strips are excellent!  These things scare me because they are so realistically meat-like.<br />I've tried 3 flavors of them so far, and there was only 1 that I thought wasn't great.  It was completely edible, but the texture was just not as good as the others.  I think it was the Teriyaki that I didn't like so much, but I really liked the Texas Barbecue and the Hickory Smoked flavors.<br /><br />These are excellent low-calorie, low-fat, convenient, tasty snacks with high amounts of protein.  You can take them anywhere, keep them in your desk at work or in your purse!<br /><br />The only complaint I have about these is that I wish there were versions with lower sodium.  To me, as someone who loves a good salty snack, but knows that too much salt is not good and tries to avoid it, these taste too salty.  And 300+ mg of sodium per strip seems high.<br /><br />But in the end I am overlooking the sodium and am purchasing these in bulk now!  I just bought the Thai Peanut flavor because I love spicy foods, and I love Thai food!  I'll update this review with my thoughts on this flavor after I receive them.<br /><br />UPDATE: I received the Thai Peanut flavor and LOVE them!  They have a great chewy texture, good flavor, and a good amount of spice.  All for only 74 calories each, but 10g protein!  I definitely recommend these!",Positive
Tasty product offering a great cup of coffee to get the day started.  I really like the reduced prices with the subscription service that provides the product automatically before we run out.,Positive
"I was a HUGE fan and recommended it highly.  However, I just tossed a whole box.  Something has changed -- and not in a good way.  I had concerns last year and thought maybe the taste was ""off"" just on the one box.  So I picked up another box last week.  It's even WORSE!  Since General Mills bought LaraBars (Humm Foods) three years ago, the product just seems to have gone down hill.  It doesn't have the same fresh, alive taste; there is a harsh, metallic flavor that indicates whatever machinery produces the bar now is not being properly cleaned.  Also the bar didn't used to be so oily to the touch.  Oily, weird flavors in nut bars make me think the nuts have gone rancid.<br /><br />Since I am writing, I also want to say it has bugged me for years that AMAZON continues to misrepresent the maker of LaraBars in the title of the product ""LaraBar"" by ""LaraBar"".  I suppose this is because people who generally buy raw food product are not usually the same people who support multinational food conglomerates like General Mills.  But it just makes me think that Amazon thinks consumers are ignorant.  I feel insulted every time I see it.",Negative
This product arrived and I found it a little odd that a liquid food product such as this is not encased in a cellophane shrink wrapping.  Then I opened the top and found that there was not even a seal across the top of the bottle.  I promptly threw the stuff out!,Negative
I am vegitarian and apparently its egg-free but decided to add gelatin...how hard is it to make simple cookie/cracker without adding the animal crap to it?,Negative
"I bought these cookies for myself and as a gift for my dad for his birthday. Unfortunately, 2 out of 4 of the boxes I gave my dad as a gift had mostly broken cookies, and were stale tasting. Not a great gift idea, and not really packaged or handled well. I have bought the delice cookies in the past and had no problems other than a random broken cookie in a box. I have not opened all of the boxes yet of course, but will hope to find a couple that are not all broken up to give to my dad.",Negative
"OMG, talk about price gouging!<br /><br />I don't know who you are but when I called Senseo, they themselves could not believe your price and had to go on line to verify it.<br /><br />SHAME ON YOU!!!",Negative
"This is great coconut oil that we've been using for a year now.  We love using it for high temperature cooking (when olive oil and other oils are not appropriate to use) and also especially on our popcorn.  Coconut oil is so good for you and tastes delicious!  This product is wonderful too because it is organic, extra virgin, and very consistent in quality.<br /><br />We're really pleased with the pricing here at Amazon AND the customer care; when one container arrived to our house punctured and broken, Amazon immediately sent out a new container.<br /><br />We will definitely order Nutiva Organic Extra Virgin Coconut Oil again.",Positive
"I love Kind Vanilla Blueberry Clusters with Flax Seeds!  These are just perfect sprinkled over yogurt and it keeps you full all morning.  Also, they are just sweet enough without being sticky sweet.  You can also munch on it through the day whenever you want something sweet and it is also super crunchy.",Positive
"I love this time of the year (Autumn/Fall) and love the immense variety of pumpkin food products that are available.  To name a few: Pumpkin Ice Cream, Pumpkin Bread and Muffins, Pumpkin Pie, Pumpkin Spice Latte (coffee), Pumpkin Cheesecake, etc. etc.  I recently started adding canned pumpkin to our Sunday morning pancakes, and was delighted with the results; however, I wanted a stronger pumpkin taste/flavor.  I found this product and excitedly ordered two bottles.  It arrived very quickly (within 3 days), and I just tried it this morning in our pancakes.  The flavor DOES NOT taste like pumpkin whatsoever.  It tastes like a chemical and leaves a bad taste in my mouth, literally.  I dumped both bottles down the sink and had to throw away the pancakes.  I was not able to eat them, they were terrible.  I was actually nauseated after trying to eat them.  I'm not a picky eater and have no allergies whatsoever.  I'm the type of person that will eat nearly everything, and cannot think of any food that I don't like.  I'm going to continue my search for a ""NATURAL"" TRUE pumpkin extract; however, this is definitely not it.  I hope this helps you, especially if you're as passionate about pumpkin flavor as I am. Happy Holidays to You and Yours.  Sincerely, Tim",Negative
"Well, it attracts moths well, as indicated by the ""powder"" marks on the tape.  On the other hand, it has yet to trap even one of them.  I think I can hear them laughing at me right now.",Negative
"I am a lap-band patient and was having a very hard time finding a protein shake that I actually could stomach, but this one is the winner.  I use fat-free milk, and some vanilla almond milk to mix mine up.  Its quick, tasty, and gives a nice jolt with the espresso already in the mix!  I have yet to try it hot, but for quick and easy cold mixing I highly recommend one of those blender bottles.  I also like their new flavor: vanilla latte.",Positive
I really wanted to like this flavor of K-Cups but it's just not that good. It smells incredible when it's brewing but I think that because this isnt a true flavored coffee you come in thinking its going to taste sweet. Its bitter to me and even the undertones of the chocolate seem a little tart. I tried even putting creamer and sugar and still found it to be way too bitter. Ive even tried to drink it over ice and still a no-go. The chocolate flavor is too artificial tasting. I love the regular and deacaff versions(unflavored) of Donut House coffee but this is not good.,Negative
"I know nettle tea has a pretty distinct taste, but this particular brand was just unbearable. The smell reminded me of fish food pellets, and it had a fishy taste, too. I bought a pound of loose nettles from somewhere else for a lot cheaper, and the taste is so much better.",Negative
"I have tried other spiced teas buy I keep going back to this one. The spices are wonderful, they are strong but don't leave an aftertaste in your mouth. I enjoy it both hot and as an ice tea.",Positive
"First of all, I'm not a dude. But I am the wife of a dude.<br />And as the wife of a dude, I like my personal dude to smell fantastic.<br />But not cologne-y, and not like a bottle of knock-off drakar noir exploded in his midst.<br /><br />AND because I am demanding. I like his skin to feel soft and smooth.<br /><br />Dove Men + Care definitely left his skin soft and smooth- for that I would give it maybe 3 or 4 stars... My husband uses regular bar Dove quite a bit, and if anything this seemed to rinse ""cleaner""...<br /><br />The fragrance though... I give that a 1 (by the way, I love the fragrance of regular Dove).<br />It's an odd match for a dude...  It's more than a hint of perfumey fabric softener, fairly chemical-y.  As far as comfort goes- the fragrance was so strong that it was not comforting in the least, but I have a very sensitive nose and sensitive skin and with the combination of the two I ordered my beloved back into the shower to hose himself off with plain ol' awesome Dove bar....<br /><br />Perfection! And now he smells clean and that is sexy.",Negative
Bought this after reading the good reviews - not sure if it has to do only with my package but rice and lentil mix literally has a smell of mold. I actually opened two containers to make sure it wasn't just my nose playing tricks on me. I love this brand and I am very disappointed.,Negative
"Amazon has always been excellent for pricing.  However, I expected to get at least 2 bottles of sprinkles for $6.  I just got 1.  They are under $3 in the stores.  I won't be ordering sprinkles again from Amazon, needless to say.",Negative
"This isn't the one I had ten years ago (brand forgotten). It is nearly OK.<br />Strong after taste , flavor is  fake.<br /><br />If anyone reading this knows what brand is great, please post so I can try out. The original one I tried was incredible, thus my fruitless search for perfection.",Negative
My(now 11 month) old has been eating this without any fuss for the last few months. this is probably the best apple sauce brand I have found which worked for her.,Positive
"Tastes as expexted. It is also indeed a heavy mayo: little will go long way, e.g. when added to tuna salad. Definitely would recommend if you need a large amount.",Positive
